"","age_group","education_recode","sex_label","Westminster.Parliamentary.constituencies.Code","total_observations","avg_predicted_turnout_prob","avg_con","avg_lab","avg_lib","avg_other","scale_factor_con","scale_factor_lab","scale_factor_lib","scale_factor_other","scaled_est_votes_con","scaled_est_votes_lab","scaled_est_votes_lib","scaled_est_votes_other"
"76","Aged 40 to 59 years","Intermediate Qualifications","Male","E14000532",12222,0.881263661474503,0.417822413793103,0.249734482758621,0.15678275862069,0.175660344827586,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,4442,2853,1134,437
"77","Aged 40 to 59 years","Advanced/Higher Education","Female","E14000532",199,0.859359689226205,0.388791666666667,0.319421401515152,0.143182765151515,0.148604166666667,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,66,58,16,6
"78","Aged 40 to 59 years","Advanced/Higher Education","Male","E14000532",164,0.898367611854746,0.428149122807018,0.275919956140351,0.144051535087719,0.151879385964912,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,62,43,14,5
"79","Aged 40 to 59 years","Other/Not Categorized","Female","E14000532",1053,0.839575871825218,0.42021875,0.243145833333333,0.1460625,0.190572916666667,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,367,228,87,39
"80","Aged 40 to 59 years","Other/Not Categorized","Male","E14000532",940,0.845500565171242,0.47315,0.17908,0.16289,0.18488,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,371,151,87,34
"81","Aged 60 to 74 years","No/Low Qualifications","Female","E14000532",360,0.784672681149712,0.565014900662252,0.208884105960265,0.0785927152317881,0.147508278145695,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,158,63,15,10
"82","Aged 60 to 74 years","No/Low Qualifications","Male","E14000532",339,0.850662731496718,0.602615763546798,0.172246305418719,0.0801096059113301,0.145028325123153,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,172,53,16,10
"83","Aged 60 to 74 years","Intermediate Qualifications","Female","E14000532",2052,0.865084359146655,0.466866,0.2333,0.144008,0.155826,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,818,439,172,64
"84","Aged 60 to 74 years","Intermediate Qualifications","Male","E14000532",2154,0.915047324195351,0.501252577319588,0.190675257731959,0.154103092783505,0.153969072164948,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,975,399,204,70
"85","Aged 60 to 74 years","Advanced/Higher Education","Female","E14000532",71,0.923766388047126,0.472252016129032,0.250925403225806,0.147971774193548,0.128850806451613,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,31,17,7,2
"86","Aged 60 to 74 years","Advanced/Higher Education","Male","E14000532",39,0.929587560286234,0.524350274725275,0.202287087912088,0.142520604395604,0.130842032967033,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,19,8,3,1
"87","Aged 60 to 74 years","Other/Not Categorized","Female","E14000532",346,0.881373014336882,0.519384615384615,0.175543269230769,0.137216346153846,0.167855769230769,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,156,57,28,12
"88","Aged 60 to 74 years","Other/Not Categorized","Male","E14000532",241,0.922599352896214,0.552776785714286,0.155125,0.100535714285714,0.1915625,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,121,37,15,10
"89","Aged 75 years and over","No/Low Qualifications","Female","E14000532",3493,0.798685365147138,0.61584496124031,0.204831395348837,0.0789205426356589,0.100403100775194,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,1696,606,148,65
